AOA,Beta,d_e,d_a,d_r,p,q,r,Cx,Cy,Cz,Cl,Cm,Cn
-1.5000000000000000e+01,-1.5000000000000000e+01,-2.5000000000000000e+01,-2.1500000000000000e+01, 0.0000000000000000e+00, 0.0000000000000000e+00,-1.1599999999999999e+00, 8.7300000000000000e-01, 1.3980006939256368e-01, 2.0413106999273928e-01, 1.2987395591547795e+00, 2.2337660255874681e-02, 7.0932464050322208e-01,-8.5190111713007444e-02
-1.5000000000000000e+01,-1.5000000000000000e+01,-2.5000000000000000e+01,-2.1500000000000000e+01, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00,-8.7300000000000000e-01, 8.6459337362423783e-02, 1.1328550836713351e-01, 1.1893681108628744e+00, 3.7426310121647155e-02, 5.4277532479158019e-01,-4.3976052570479117e-02
-1.5000000000000000e+01,-1.5000000000000000e+01,-2.5000000000000000e+01,-2.1500000000000000e+01,-3.0000000000000000e+01,-3.8399999999999999e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 1.1159350314111023e-01, 1.0302076271160847e-01, 1.2610587968467704e+00, 1.2897407389972856e-01, 6.9237242029074031e-01,-4.3796055313367957e-02
-1.5000000000000000e+01,-1.5000000000000000e+01,-2.5000000000000000e+01,-2.1500000000000000e+01,-3.0000000000000000e+01,-3.8399999999999999e+00, 0.0000000000000000e+00, 8.7300000000000000e-01, 1.2405571076359749e-01, 1.4337958350954302e-01, 1.2420443911967407e+00, 1.2011206827388746e-01, 6.8569899554976066e-01,-6.2745348922418051e-02
-1.5000000000000000e+01,-1.5000000000000000e+01,-2.5000000000000000e+01,-2.1500000000000000e+01,-3.0000000000000000e+01,-3.8399999999999999e+00,-1.1599999999999999e+00, 8.7300000000000000e-01, 1.6059214071535774e-01, 1.3178448450234412e-01, 1.3956951176930539e+00, 1.2043342061684617e-01, 8.8852644476436216e-01,-5.6137709052897923e-02
-1.5000000000000000e+01,-1.5000000000000000e+01,-2.5000000000000000e+01,-2.1500000000000000e+01,-3.0000000000000000e+01,-3.8399999999999999e+00, 0.0000000000000000e+00,-8.7300000000000000e-01, 1.0128878483795836e-01, 6.3285079344210571e-02, 1.2831301206624679e+00, 1.3818586585893036e-01, 7.0145839568115320e-01,-2.5049270470247798e-02
-1.5000000000000000e+01,-1.5000000000000000e+01,-2.5000000000000000e+01,-2.1500000000000000e+01, 0.0000000000000000e+00,-3.8399999999999999e+00, 0.0000000000000000e+00,-8.7300000000000000e-01, 1.3564457056700141e-01, 1.9510815152166261e-01, 1.2451385460640603e+00, 1.6153880522671840e-01, 6.3095817452482617e-01,-9.0124448984892136e-02
-1.5000000000000000e+01,-1.5000000000000000e+01,-2.5000000000000000e+01,-2.1500000000000000e+01, 0.0000000000000000e+00,-3.8399999999999999e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 1.4918510605162152e-01, 2.3950722061999843e-01, 1.2202222152402067e+00, 1.5325399771686360e-01, 6.1643143744935514e-01,-1.1126387889498109e-01
-1.5000000000000000e+01,-1.5000000000000000e+01,-2.5000000000000000e+01,-2.1500000000000000e+01, 0.0000000000000000e+00, 3.8399999999999999e+00, 0.0000000000000000e+00, 8.7300000000000000e-01, 1.1512461420286857e-01, 1.0809674119546595e-01, 1.2110595651945519e+00,-1.0220486001290585e-01, 5.0297570415922899e-01,-3.4471479973240807e-02
-1.5000000000000000e+01,-1.5000000000000000e+01,-2.5000000000000000e+01,-2.1500000000000000e+01, 0.0000000000000000e+00, 3.8399999999999999e+00, 1.1599999999999999e+00,-8.7300000000000000e-01, 8.4298928896926764e-02, 3.2570740946283899e-02, 1.0815069304729215e+00,-8.4731354994464839e-02, 3.2387097140523780e-01,-1.4890237806699036e-03
